FID	IID	T10	T11	T12
898	899	0.15394618040341684	0.6136997239949207	0.01716550110480155
1015	1016	0.1662373580715264	0.6642274927509423	-0.0029848406725539317
1023	1024	0.214553200152716	0.5690802680005426	0.024416742399148414
1018	1019	0.19839268161777993	0.5391306454887911	0.022322338352316385
1020	1021	0.17698725089106193	0.6879783339391876	0.06239280678223878
899	900	0.22936734068059392	0.12549121539351182	0.02875373171766442
901	902	0.15870810648227704	0.6115191009539857	0.06455820971164825
1022	1023	0.23556569816766043	0.6288182516766443	0.015669890895429466
900	901	0.4474807451649904	0.1290001975052174	0.11295492491074714
1025	1026	0.25460951154376665	0.4012590779103814	0.004071270959978354
904	905	0.3143264747007549	0.45117098004885725	0.03632056034935482
1031	1032	0.3190735453875038	0.26788017013194504	0.012416976366842122
905	906	0.4579285715735226	0.2993678117157406	0.08998103719112083
1027	1028	0.2634834305310043	0.6338631962174985	-0.006720107109582176
1024	1025	0.2566911284088226	0.3038466732072306	0.04401792253720374
1032	1033	0.38927319133886923	0.44419739266627795	-0.018729142977264326
902	903	0.46631590636769615	0.4096478471559998	0.03431474874432452
1033	1034	0.20286333280912625	0.4085814826614135	0.1382698102572551
1028	1029	0.14013659486933366	0.6241699924363713	0.01905506047887074
1026	1027	0.29401368277906903	0.15843844968114087	0.03951828321087339
1030	1031	0.4431917786327456	0.2229414935152578	-0.011202435461734266
903	904	0.1669832512209281	0.6393444821178316	0.08224652270418781
912	913	0.27853914452399847	0.5678973137263368	0.08493358279073314
1035	1036	0.4038754950039397	0.21089857457625202	0.05855264248017036
910	911	0.31734518951581836	0.4076168095573329	0.04697338691937938
1039	1040	0.25121972674915	0.3629013897291504	0.05287504878963809
909	910	0.24489332034711916	0.4875171436653081	0.025264052175902107
1040	1041	0.22666217060531413	0.5322295298852115	0.011851268727291229
1038	1039	0.37868855955764286	0.4194853850138867	0.007841529858786524
911	912	0.13925993289975935	0.6818411978119319	0.01718353444095697
908	909	0.3812816654440306	0.17458254409945498	0.009740300161168475
907	908	0.029985477105426553	0.847305178778482	0.013964569392295052
1037	1038	0.19999412844755052	0.5519326457517837	-0.010302185887868782
906	907	0.1684411029067291	0.22834853338194844	0.09988096669077706
1036	1037	0.17657320243987748	0.7270365836262954	0.007011131752808927
1034	1035	0.4623147342684553	0.13427674503561934	0.11289241081845217
872	873	0.32936701233622184	0.44045218838451655	0.04996731820290368
867	868	0.08854649478103568	0.7382172843531674	0.028800141456076494
914	915	0.45984885828820504	0.08818342930378899	0.04055043119267027
871	872	0.13911528260546968	0.7969940000972996	0.03024169935307451
917	918	0.11013813304122458	0.7749714515073752	0.012122863724098008
694	695	0.18880602107204708	0.33387480746833187	0.13981045350025162
868	869	0.25247966808146527	0.3781968969829381	0.01613305549363138
1041	1042	0.2919428980011293	0.47168515277750556	0.03983719257798578
915	916	0.32136965910694465	0.44060058614165853	0.04748205138692835
916	917	0.2536940980572413	0.5971995969117668	0.02581333214632435
1042	1043	0.0643469400890049	0.8096792958597622	0.006424501903394813
661	662	0.2610902357689163	0.5560259640257714	0.05058700344482828
699	700	0.6167339013616565	0.27445380588091983	0.027521994906680933
702	703	0.26473748893368304	0.1697336251063801	0.010560073290803138
696	697	0.10343178580540645	0.5114101602717037	0.016361367593175406
704	705	0.20100573256685686	0.18206889160893922	0.06742359070387964
662	663	0.18213265836940934	0.48363150618480216	0.05788280484923144
664	665	0.287094079635961	0.36765861933948796	0.009377271025568852
